Sample ID,Spectrum file,Collection time,Detector,Energy calibration,Background spectrum,Sample Weight,Efficiency curve,Results File (.npz),Cs137 cnts,Cs137 unc,Bi214 cnts,Bi214 unc,Tl208 cnts,Tl208 unc,K40 cnts,K40 unc,Cs-137/Tl-208,Cs/Tl unc.,Cs-137/K-40,Cs/K unc.,Notebook link
74433,sample74433_10_17-20_2025.Spe,10/17 - 10/20,Rayleigh,Same as in Background 10/06,background_10_06_2025.Spe,298.8,Not done yet,Sample-74433.npz,,,,,,,,,,,,,
Berkeley,berkeley-control-sample_10_20-22_2025.Spe,10/20 - 10/22,Rayleigh,,background_10_06_2025.Spe,546.1,Not done yet,Berkeley-Sample.npz,,,,,,,,,,,,,
77809,sample77809_10_22-24_2025.Spe,10/22 - 10/24,Rayleigh,,background_10_06_2025.Spe,334.4,Not done yet,Sample-77809.npz,,,,,,,,,,,,,
58286,sample58286_10_24-27_2025.Spe,10/24 - 10/27,Rayleigh,,background_10_06_2025.Spe,1011.3,Not done yet,,,,,,,,,,,,,,
11166 (DNU),sample11166_10_29_2025 (Botched analysis).Spe,10/27 - 10/29,Rayleigh,,background_10_06_2025.Spe,805.7,Not done yet,Sample-11166.npz,,,,,,,,,,,,,
67649,sample67649_10_31_2025.Spe,10/29 - 10/31,Rayleigh,,background_10_06_2025.Spe,1089.7,Not done yet,Sample-67649.npz,,,,,,,,,,,,,
31760,SAMPLE31760_11_4_2025.Spe,10/31 - 11/4,Rayleigh,,background_10_06_2025.Spe,1424.8,Not done yet,,,,,,,,,,,,,,
93179,sample93179_11_10-17_2025.Spe,11/10 - 11/17,Rayleigh,11_10_2025.Clb,background_10_06_2025.Spe,956.1,Not done yet,,,,,,,,,,,,,,
97398,sample97398_11_19_2025.Spe,11/17 - 11/19,Rayleigh,11_10_2025.Clb,background_10_06_2025.Spe,158.4,Not done yet,,,,,,,,,,,,,,
15598,sample15598_11_21_2025.Spe,11/19 - 11/21,Rayleigh,11_10_2025.Clb,background_10_06_2025.Spe,483.6,Not done yet,,,,,,,,,,,,,,
11166 (Use),sample11166_11_25_2025.Spe,11/21 - 11/25,Rayleigh,11_10_2025.Clb,background_10_06_2025.Spe,805.7,Not done yet,,,,,,,,,,,,,,
88031 (dnu),sample88031_12_3_2025 (I think this one is also botched).Spe,11/25 - 12/3,Rayleigh,11_10_2025.Clb,background_10_06_2025.Spe,551.8,Not done yet,,,,,,,,,,,,,,
35376,sample35376_12_5_2025.Spe,12/5 - 12/12,Rayleigh,11_10_2025.Clb,background_10_06_2025.Spe,908.1,Not done yet,,,,,,,,,,,,,,